verdict,auditor_note,claim,excerpt,source_publication,source_date,source_title,source_file,event_type,event_date,date_precision,operator,venue_name_as_written,on_the_map,extraction_confidence,pipeline_flagged_it,event_id
not_supported,"The word ‘food’ does not appear in this article. It is an interview about winning a minority CLEANING subcontract at Veterans Stadium. Harry M. Stevens was a concessionaire historically, but this article does not claim a food service award, nor the 1997 date. Lowest confidence in the sample (0.45) — the model’s own uncertainty was right.",Harry M. Stevens won the food service contract at Veterans Stadium — 1997-01-01 (approx).,"…dy?' She said, 'I just knew you were going to be somebody because you are a hard worker.' And I cleaned her house. Q: How did you get your first big break to clean something larger than some Main Line houses? I think it was to clean Veterans Stadium, the Phillies' former ballfield, now demolished. How did that happen? A: It happened because a person needed a minority vendor. He landed a contract in our great city. It had put these diversity rules in place, and I'm forever thankful for them for doing that. So that person, who was from Baltimore, landed this contract. The company was Harry M. Stevens. It was bought by Aramark. And he said to me, 'I see your name on this list and I need a minor…",TCA Regional News; Chicago,2016-07-30,"In Philly, from cleaning lady to CEO, a rags-to-riches story",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,1997-01-01,approx,Harry M. Stevens,Veterans Stadium,yes,0.45,yes,ev_3eccefa12c893476
correct,"‘Aramark began a three-year, $145-million contract in December 2013’ with Michigan DOC. Found despite the article being ostensibly about a fired Trinity worker.","Aramark Correctional Services won the food service contract at state prison properties, Michigan Department of Corrections — 2013-12-01 (month).","LANSING - A food worker has been fired and banned from state prison properties after she was caught making out with an inmate inside a kitchen cooler on Tuesday, a Corrections Department spokesman confirmed Thursday. After a corrections officer discovered the pair, prison officials determined the Trinity Services Group worker had also sent photographs to the inmate and had communicated with him using the JPay prison email system, in violation of department rules, spokesman Chris Gautz said. ""An officer discovered the two in the cooler kissing,"" Gautz told the Free Press. ""The photos and JPay discussions were discovered after that."" The incident happened at the Charles Egeler Reception and Gu…","Lansing State Journal; Lansing, Mich.",2016-09-09,Worker is fired for kissing inmate,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,2013-12-01,month,Aramark Correctional Services,state prison properties,no,0.85,yes,ev_0100a2ac6b81113d
correct,‘FGCU cutting ties with its former food service management company -- Aramark.’,"Aramark lost the food service contract at FGCU, Florida Gulf Coast University — date unknown.","The 2016-17 school year starts today at Florida Gulf Coast University, and it is sure to bring a lot of excitement and changes to the Southwest Florida school. If all goes well, the biggest news coming out of FGCU this school year will be the naming of a new president. The school term won't quite be four months old when the FGCU board selects President Wilson Bradshaw's successor. Bradshaw plans to step down June 30, the day his contract ends and two months after the school year closes. All of this will be going on in the midst of a year-long celebration marking the day that FGCU opened its doors in 1997. So there's one thing that won't be lacking at FGCU this year and that's news. Here are …","The News Press; Fort Myers, Fla.",2016-08-17,Back to school at FGCU: Five things to know for 2016,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,lost,,approx,Aramark,FGCU,no,0.9,yes,ev_1ce7bd4d51695bb7
correct,"‘the University of Maine System awarded its new dining service contract to Sodexo’. NOTE: duplicate of ev_e3f304b01ecabdf4 — same fact, same article, two event ids.",Sodexo won the food service contract at University of Maine System — 2016-01-01 (year).,"…ther businesses understand how they can extend their market reach,"" according to a press release. Maine's local food advocates have pushed hard to get more Maine-grown food served in the schools' dining halls. Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo, citing in part the company's commitment to source 25 to 30 percent of its food locally; previously, Aramark held the contract. ""We want people to walk out of the room informed on how to take the next step in selling to an institution like Sodexo or the University of Maine,"" Maeve McInnis, director of The Maine Course by Sodexo is quoted as saying. The Maine Course is the name of the Sod…","Portland Press Herald; Portland, Me.",2016-10-23,Notes from the farm to table and sustainable world,articles/raw/usb1/Sodexho/ProQuestDocuments-2026-07-29.rtf,won,2016-01-01,year,Sodexo,University of Maine System,no,0.85,yes,ev_c879640f6f86d456
correct,"‘Aramark will effectively replace Sodexo’ and Sodexo’s ‘contract with the university set to expire July 1’ — article is Oct 2016, so 2017-07-01 is right.",Sodexo lost the food service contract at Temple University — 2017-07-01 (exact).,"Publication: Temple News, Temple University, Philadelphia PA. President Richard Englert (left), Board Chairman Patrick O'Connor and Vice Chairman H.F. ""Gerry"" Lenfest. | BRIANNA SPAUSE/THE TEMPLE NEWS Temple's acting president Richard Englert was named to the position of president until a national search for a successor launches this summer, the Board of Trustees announced Tuesday. The decision came in a one-hour public meeting at Sullivan Hall, the first public meeting of the full Board since trustees voted in July to remove Neil Theobald as President. At that meeting, the Board named Englert as acting president and confirmed the appointment of JoAnne Epps as provost. Patrick O'Connor, who …",University Wire; Carlsbad,2016-10-11,"Englert to continue as president, Board says",articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,lost,2017-07-01,exact,Sodexo,Temple University,no,0.85,yes,ev_ec60d67dd3be98e5
correct,Article states Aramark is ‘the district's food service company’ and describes the moldy-bagel incident on the stated date. CORRECTED from out_of_scope: ‘violation’ is a declared event_type (schema.py) that pair.py treats as PRESENCE evidence — proof the operator was there — not as a contract change.,"Aramark had a 'violation' event at Neil Armstrong Elementary, Scranton School District — 2016-11-07 (exact).","… a recent radon test at West Scranton Intermediate came back clear. Directors Paul Duffy and Mark McAndrew were absent. In other business: --Officials from Aramark, the district's food service company, explained how four students at Neil Armstrong Elementary were served moldy bagels on Monday. The bagels, defrosted and served to students on Friday, were refrigerated in their packaging. Condensation caused mold to grow over the weekend, said Precious Gilliard, manager for Aramark. Cafeteria employees have already been reminded of safe serving practices, she said. One student ate the bagel. Directors also raised concerns with the nutritional value of items being served as part of the breakfast…",TCA Regional News; Chicago,2016-11-10,Scranton schools to investigate health concerns; board hires principals,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,violation,2016-11-07,exact,Aramark,Neil Armstrong Elementary,no,0.75,yes,ev_f6b78a138640f421
correct,‘The university decided to contract with Chartwells after doing a two-year review of its dining and catering needs.’,"Chartwells won the food service contract at FGCU, Florida Gulf Coast University — date unknown.","The 2016-17 school year starts today at Florida Gulf Coast University, and it is sure to bring a lot of excitement and changes to the Southwest Florida school. If all goes well, the biggest news coming out of FGCU this school year will be the naming of a new president. The school term won't quite be four months old when the FGCU board selects President Wilson Bradshaw's successor. Bradshaw plans to step down June 30, the day his contract ends and two months after the school year closes. All of this will be going on in the midst of a year-long celebration marking the day that FGCU opened its doors in 1997. So there's one thing that won't be lacking at FGCU this year and that's news. Here are …","The News Press; Fort Myers, Fla.",2016-08-17,Back to school at FGCU: Five things to know for 2016,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,,approx,Chartwells,FGCU,no,0.9,yes,ev_ba3582e42d4248f2
wrong_operator,"Ramsey County self-operating its jail kitchen is supported by the Guardian piece, but the operator was extracted as ‘Minnesota’ — a state, not an operator.","Minnesota was replaced by in-house operation at Ramsey County correctional facility, Minnesota — date unknown.","Today is a good day for the roughly 500 prisoners at Ramsey County correctional facility in St Paul, Minnesota. Today is an egg day. It’s just before 7am and the inmates are lining up in the mess hall for breakfast, which this morning features two boiled eggs as well as porridge, cold toast, coffee, orange juice and a carton of milk. Andre Ragland, a 52-year-old drug addict from Chicago who has been in and out of Ramsey over the past 30 years, is excited. “Eggs are special,” he says as he sits down to tuck into his breakfast from a beige plastic tray in the 20 minutes allotted to eat. “Today is going to be a good day.” The soaring US prison and jail population – which has hit a record 2.2 mi…",The Guardian (Online); London (UK),2016-09-30,Prison food politics: the economics of an industry feeding 2.2 million,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,self_op,,approx,Minnesota,Ramsey County correctional facility,no,0.55,yes,ev_8521b7769abe3a18
correct,"‘a Sept. 12 meeting at which they approved a letter of intent to finalize the new deal’, adding six years to the Aramark contract.",Aramark renewed its food service contract at University of Toledo — 2016-09-12 (exact).,"A contract extension between the University of Toledo and its dining services provider will mean more milkshakes and moola for the university. | The new agreement with Aramark will bring additional dining options and national chains, starting with Steak 'n Shake, to the main campus. The agreement is expected to generate about $23 million over the next decade and add six more years to the four years remaining on the existing contract with the company that operates at 1,500 colleges and school districts. | Steak 'n Shake, known for its burgers and hand-dipped, real-milkshakes, will open in the student union during the spring semester. It will take over the former site of Rocky's Grill. | Anoth…","The Blade; Toledo, Ohio",2016-09-17,NATIONAL CHAINS: UT DINING OPTIONS TO EXPAND IN NEXT YEAR; CONTRACT WITH PROVIDER OK'D,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,renewed,2016-09-12,exact,Aramark,University of Toledo,no,0.82,yes,ev_398b7470a11e4d88
correct,"Same sentence as ev_c879640f6f86d456. Correct in itself; the pair is a dedup failure, not an extraction error.",Sodexo won the food service contract at University of Maine System — 2016-01-01 (year).,"…ther businesses understand how they can extend their market reach,"" according to a press release. Maine's local food advocates have pushed hard to get more Maine-grown food served in the schools' dining halls. Earlier this year, the University of Maine System awarded its new dining service contract to Sodexo, citing in part the company's commitment to source 25 to 30 percent of its food locally; previously, Aramark held the contract. ""We want people to walk out of the room informed on how to take the next step in selling to an institution like Sodexo or the University of Maine,"" Maeve McInnis, director of The Maine Course by Sodexo is quoted as saying. The Maine Course is the name of the Sod…","Portland Press Herald; Portland, Me.",2016-10-23,Notes from the farm to table and sustainable world,articles/raw/usb1/Aramark/ProQuestDocuments-2026-07-29 (1).rtf,won,2016-01-01,year,Sodexo,University of Maine System,no,0.85,yes,ev_e3f304b01ecabdf4
